grandprix,year,driver_name,driver_code,driver_number,track,track_type,wet_dry,fastest_lap_time,avg_lap_time,avg_sector_1_time,avg_sector_2_time,avg_sector_3_time,pitstops,grid_position,finished_position
Bahrain Grand Prix,2025,Fernando ALONSO,ALO,14,Sakhir,circuit,dry,97.906,100.4443148,32.632625,44.02175,25.024,2,13,15
Bahrain Grand Prix,2025,Charles LECLERC,LEC,16,Sakhir,circuit,dry,96.132,99.66472222,32.59864286,43.46178571,24.97139286,2,3,4
Bahrain Grand Prix,2025,Lance STROLL,STR,18,Sakhir,circuit,dry,98.064,100.4760926,32.61,44.06432143,25.0415,2,19,17
Bahrain Grand Prix,2025,Yuki TSUNODA,TSU,22,Sakhir,circuit,dry,97.225,100.1323519,32.41092857,43.87514286,25.13466071,2,10,9
Bahrain Grand Prix,2025,Alexander ALBON,ALB,23,Sakhir,circuit,dry,97.141,100.2023519,32.400125,44.02066071,25.03716071,2,15,12
Bahrain Grand Prix,2025,Nico HULKENBERG,HUL,27,Sakhir,circuit,dry,97.338,100.8701667,32.63925,43.94007143,24.91041071,2,16,
Bahrain Grand Prix,2025,Liam LAWSON,LAW,30,Sakhir,circuit,dry,97.38,100.138537,32.60878182,43.90253571,24.945,2,17,16
Bahrain Grand Prix,2025,Esteban OCON,OCO,31,Sakhir,circuit,dry,97.098,100.765463,32.40832143,43.91178571,25.06423214,2,14,8
Bahrain Grand Prix,2025,Lewis HAMILTON,HAM,44,Sakhir,circuit,dry,96.235,99.86627778,32.43617857,43.63233929,25.05398214,2,9,5
Bahrain Grand Prix,2025,Carlos SAINZ,SAI,55,Sakhir,circuit,dry,96.954,101.2543171,33.65461364,44.35988636,25.48034091,3,8,
Bahrain Grand Prix,2025,George RUSSELL,RUS,63,Sakhir,circuit,dry,95.518,99.63394444,33.35197222,44.37738889,25.50633333,2,2,2
Bahrain Grand Prix,2025,Oscar PIASTRI,PIA,81,Sakhir,circuit,dry,95.14,99.18177778,32.57201786,43.37128571,24.78423214,2,1,1
Bahrain Grand Prix,2025,Oliver BEARMAN,BEA,87,Sakhir,circuit,dry,97.303,100.2431667,32.35728571,44.00657143,25.06748214,2,20,10
Saudi Arabian Grand Prix,2025,Max VERSTAPPEN,VER,1,Jeddah,street,dry,92.28,96.46983333,35.76567347,30.1214898,30.97781633,1,1,2
Saudi Arabian Grand Prix,2025,Lando NORRIS,NOR,4,Jeddah,street,dry,91.778,96.45964583,35.83918367,30.07318367,30.82089796,1,10,4
Saudi Arabian Grand Prix,2025,Gabriel BORTOLETO,BOR,5,Jeddah,street,dry,94.447,97.32487234,36.6690625,30.79679167,31.20314583,1,20,18
Saudi Arabian Grand Prix,2025,Isack HADJAR,HAD,6,Jeddah,street,dry,93.257,97.54872917,36.5765625,30.24367347,31.02193878,1,14,10
Saudi Arabian Grand Prix,2025,Jack DOOHAN,DOO,7,Jeddah,street,dry,93.15,97.0156087,36.98660417,30.60595833,31.10825,2,17,17
Saudi Arabian Grand Prix,2025,Pierre GASLY,GAS,10,Jeddah,street,dry,,,,,,0,9,
Saudi Arabian Grand Prix,2025,Kimi ANTONELLI,ANT,12,Jeddah,street,dry,92.396,97.090375,36.26763265,30.15653061,30.96795918,1,5,6
Saudi Arabian Grand Prix,2025,Fernando ALONSO,ALO,14,Jeddah,street,dry,93.009,97.75139583,36.50183673,30.33083673,31.21930612,1,13,11
Saudi Arabian Grand Prix,2025,Charles LECLERC,LEC,16,Jeddah,street,dry,92.192,96.5938125,35.84453061,30.14561224,30.88734694,1,4,3
Saudi Arabian Grand Prix,2025,Lance STROLL,STR,18,Jeddah,street,dry,92.745,98.21055319,36.70079167,30.486375,31.280625,1,16,16
Saudi Arabian Grand Prix,2025,Yuki TSUNODA,TSU,22,Jeddah,street,dry,,,,,,0,8,
Saudi Arabian Grand Prix,2025,Alexander ALBON,ALB,23,Jeddah,street,dry,93.477,97.54954167,36.72246939,30.27659184,30.87812245,1,11,9
Saudi Arabian Grand Prix,2025,Nico HULKENBERG,HUL,27,Jeddah,street,dry,93.446,98.18189362,36.84041667,30.54639583,31.03439583,1,18,15
Saudi Arabian Grand Prix,2025,Liam LAWSON,LAW,30,Jeddah,street,dry,92.998,97.50677083,36.4867551,30.38093878,30.93073469,1,12,12
Saudi Arabian Grand Prix,2025,Esteban OCON,OCO,31,Jeddah,street,dry,94.309,96.98791667,36.59514286,30.68740816,31.02506122,1,19,14
Saudi Arabian Grand Prix,2025,Lewis HAMILTON,HAM,44,Jeddah,street,dry,92.6,97.11575,36.12979592,30.19181633,31.09383673,1,7,7
Saudi Arabian Grand Prix,2025,Carlos SAINZ,SAI,55,Jeddah,street,dry,92.466,97.5439375,36.64546939,30.30546939,30.96606122,1,6,8
